College,Email
Westfield State University,admissions@westfield.ma.edu
Westminster College,admis@westminster.edu
Westminster College Missouri,admissions@westminster-mo.edu
Westminster College Utah,admission@westminstercollege.edu
Westmont College,admissions@westmont.edu
Wheaton College Il,admissions@wheaton.edu
Wheaton College Massachusetts,admission@wheatoncollege.edu
Wheeling Jesuit University,admiss@wju.edu
Whitman College,admission@whitman.edu
Whittier College,admission@whittier.edu
Whitworth University,admissions@whitworth.edu
Wichita State University,admissions@wichita.edu
Widener University,admissions.office@widener.edu
Wilberforce University,admission@wilberforce.edu
Wilkes Honors College,hcadmissions@fau.edu
Wilkes University,admissions@wilkes.edu
Willamette University,bearcat@willamette.edu
William Carey University,admissions@wmcarey.edu
William Jessup University,admissions@jessup.edu
William Jewell College,admission@william.jewell.edu
William Paterson University Nj,admissions@wpunj.edu
William Peace University,admissions@peace.edu
William Penn University,admissions@wmpenn.edu
William Woods University,admissions@williamwoods.edu
Williams Baptist College,admissions@wbcoll.edu
Williams College,admission@williams.edu
Wilmington College,admissions@wilmington.edu
Wilmington University,infocenter@wilmu.edu
Wilson College,admissions@wilson.edu
Wingate University,admit@wingate.edu
Winona State University,admissions@winona.edu
Winston Salem State University,admissions@wssu.edu
Winthrop University,admissions@winthrop.edu
Wisconsin Lutheran College,admissions@wlc.edu
Wittenberg University,admission@wittenberg.edu
Wofford College,admission@wofford.edu
Woodbury University,info@woodbury.edu
Worcester Polytechnic Institute,admissions@wpi.edu
Worcester State University,admissions@worcester.edu
Wright State University,admissions@wright.edu
Wright State University Lake Campus,discoverlakecampus@wright.edu
Wyoming Catholic College,admissions@wyomingcatholiccollege.com
Xavier University,xuadmit@xavier.edu
Xavier University,admissions@xula.edu
Xavier University Of Louisiana,apply@xula.edu
Yale Nus College,admissions@yale-nus.edu.sg
Yale University,student.questions@yale.edu
Yeshiva University,yuadmit@yu.edu
York College,admissions@ycp.edu
York College,enroll@york.edu
York University,intlenq@yorku.ca
Young Harris College,admissions@yhc.edu
Youngstown State University,enroll@ysu.edu
